Phase,Day,Platform,Asset,Topic,Primary CTA,Goal
Pre-launch,Day -7,Instagram Reel,TikTok 1 / Reel 1,The Friday sitter scramble,Join the launch list,Problem awareness
Pre-launch,Day -6,TikTok,TikTok 2,Things Jewish parents search for in a sitter,Follow for launch,Audience resonance
Pre-launch,Day -5,Instagram Reel,Reel 3,Caregiver recruitment,Join as a caregiver,Supply growth
Pre-launch,Day -4,YouTube Short,Shorts 2,How 18 Sitters works,Subscribe for launch updates,Product education
Pre-launch,Day -3,Instagram Story,Static app screenshots,Poll: What is hardest about finding a sitter?,Answer the poll,Engagement
Pre-launch,Day -2,TikTok,TikTok 4,Rating the old sitter search,Follow 18 Sitters,Shareability
Pre-launch,Day -1,Instagram Reel,Reel 6,Launch tomorrow,Turn on notifications,Launch anticipation
Launch,Day 1,Instagram Reel,Reel 6,18 Sitters is launching,Download or join launch,Launch announcement
Launch,Day 1,TikTok,TikTok 6,18 Sitters in 10 seconds,Download or join launch,Fast product intro
Launch,Day 1,YouTube,Launch Film,Introducing 18 Sitters,Join the launch,Brand trust
Launch,Day 2,Instagram Reel,Reel 2,What makes a great sitter match,Start your 7-day trial,Feature education
Launch,Day 3,TikTok,TikTok 3,Caregiver profile glow-up,Create your caregiver profile,Caregiver acquisition
Launch,Day 4,Instagram Story,Referral screen,Invite one family,Referral growth
Launch,Day 5,YouTube Short,Shorts 1,The babysitter search needed a calmer home,Download 18 Sitters,Problem to solution
Launch,Day 6,TikTok,TikTok 5,Date night math,Download at launch,Parent emotion
Launch,Day 7,Instagram Reel,Reel 5,Trusted care grows through trusted people,Share your code,Community growth
Post-launch,Week 2,Instagram Reel,Reel 4,The calm app tour,Start your trial,Activation
Post-launch,Week 2,TikTok,TikTok 2,Search filters parents care about,Download 18 Sitters,Feature adoption
Post-launch,Week 2,YouTube,Founder Walkthrough,App walkthrough for families and caregivers,Join 18 Sitters,Education
Post-launch,Week 3,Instagram Reel,Reel 3,Caregivers wanted,Join as a caregiver,Marketplace balance
Post-launch,Week 3,TikTok,TikTok 1,Friday panic remix,Follow and download,Retention
Post-launch,Week 3,Instagram Story,Question box,Ask us about launch cities,Submit your city,Market expansion
Post-launch,Week 4,YouTube Short,Shorts 3,Caregivers join 18 Sitters,Create your caregiver profile,Caregiver acquisition
Post-launch,Week 4,Instagram Reel,Reel 5,Referral community loop,Invite your community,Referral growth
